id	source	text	satisfaction	satisfaction_std	satisfaction_bucket	satisfaction_support	considerateness	considerateness_std	considerateness_bucket	considerateness_support	dedication	dedication_std	dedication_bucket	dedication_support	emotion	emotion_std	emotion_bucket	emotion_support
1	trip_advisor	What is most frustrating is that there is no way to find a flight with two upgrade-able seats without calling AA -- and waiting through three minutes of canned drivel before we find a representative and go through the whole 'wanna' list with her.	1	0	1	7	1.428571429	0.5345224838	1	7	1.714285714	0.9511897312	2	7	4.285714286	0.755928946	4	7
2	airline	I have found it is cheaper for me to book flights "on line" from here in the U.K. than it is for her to book from Antigua, is this legal and within "airline" rules.	2.285714286	0.9511897312	2	7	2.571428571	0.9759000729	3	7	2.571428571	0.7867957925	3	7	2.428571429	0.9759000729	2	7
3	twitter	sorry for the delayed response we can see the flight has been moved as per request take care and see you soon on board	3.142857143	0.8997354108	3	7	4.142857143	0.6900655593	4	7	3.714285714	0.755928946	4	7	2.142857143	0.8997354108	2	7
4	airline	Flying from Newcastle uk to Orlando via LHR and either jfk or Miami, my problem is my current itinerary booked direct with BA is not showing on their website but is with AA's website so Ithink I may have to change flights,my options include either a 2 hour layover in JFK or a 3 hour layover in Miami,which should I choose?	2.142857143	0.6900655593	2	7	3.428571429	0.5345224838	3	7	2.857142857	0.377964473	3	7	2	0.5773502692	2	7
5	trip_advisor	On arrival I contacted Airasia via the website and explained everything eg, The website states that some of the meals may contain gluten, When in fact ALL of the meals had gluten, so I requested a refund of the return flights pre-booked meals which was some 10 days away.	1.625	0.5175491695	2	8	2.5	0.5345224838	2	8	2	0.755928946	2	8	3.125	1.246423455	3	8
6	ubuntu	hi, i cannot copy a folder into usr/shr/amsn/skins how can i get my session to have that authorization	2.25	0.5	2	4	3	0	3	4	3	0	3	4	1.25	0.5	1	4
7	trip_advisor	On the return journey I asked for my breakfast to be served before we got into sydney.	2.5	0.7071067812	2	2	3	0	3	2	3	0	3	2	1.5	0.7071067812	2	2
8	github	You can also trigger a rebase manually by commenting .	3	0	3	4	3	0	3	4	3	0	3	4	1	0	1	4
9	twitter	hi rhys we are following you now please include your booking ref full name email and contact number 12 hi chris it is great to hear you are a fan of the new safety video we hope to see you on board again soon	3.666666667	0.5773502692	4	3	4.666666667	0.5773502692	5	3	4	0	4	3	2.666666667	1.527525232	3	3
10	yahoo	Another possible explanation would be a biological origin for the gas, potentially from colonies of microscopic organisms in the soil.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
11	asapp	Okay Ms. Zhang can you please try entering the credit card again and let me know what happens?	3	0	3	7	4.142857143	0.6900655593	4	7	3.714285714	0.755928946	4	7	1.857142857	0.8997354108	2	7
12	asapp	If you're interested in making a lot of purchases you would be able to save a lot on shipping with Bronze.	3	0	3	2	3.5	0.7071067812	4	2	3	0	3	2	1	0	1	2
13	trip_advisor	I am just a bit concerned that myself or my luggage might not make it.	2	0	2	2	3.5	0.7071067812	4	2	3	0	3	2	2.5	0.7071067812	3	2
14	ubuntu	It gives an error: error while loading shared libraries: libart_lgpl_2.	2.142857143	0.6900655593	2	7	3	0	3	7	3	0	3	7	1.428571429	0.7867957925	1	7
15	trip_advisor	On Hawaiian, you don't have to be on the same reservation but just traveling together.	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
16	ubuntu	hi my ubuntu works really slow...I cant understand why really.	2	0	2	2	3	0	3	2	3	0	3	2	2.5	0.7071067812	3	2
17	asapp	Your promo code expired yesterday but since you are a gold member I'll generate a new one for you.	3.285714286	0.4879500365	3	7	4.714285714	0.4879500365	5	7	4.571428571	0.5345224838	5	7	1.285714286	0.4879500365	1	7
18	airline	I am writing today to tell you how disappointed I am in your misleading business practices and disgusted I am with your customer support (a common thread in many reviews for your company).	1	0	1	10	1.9	0.994428926	2	10	1.4	0.8432740427	1	10	4.2	0.9189365835	4	10
19	trip_advisor	We are travelling to Bangkok early next year and I have noticed in	3	0	3	2	3	0	3	2	3	0	3	2	1	0	1	2
